iter	Logloss
0	0.6629496212
1	0.6384542456
2	0.6166825216
3	0.5992725736
4	0.5845110552
5	0.5679287222
6	0.5544152073
7	0.546126755
8	0.5364638862
9	0.5296302691
10	0.522662945
11	0.5173128654
12	0.5110361135
13	0.5066002013
14	0.5016082231
15	0.4980003514
16	0.4942043121
17	0.4911028333
18	0.4884072526
19	0.4856574381
20	0.4829659556
21	0.4802249344
22	0.4785310028
23	0.475715239
24	0.4730952293
25	0.4705541459
26	0.4686903923
27	0.4671538246
28	0.4655309662
29	0.4635087264
30	0.4619877942
31	0.4600983622
32	0.4582593946
33	0.4568168383
34	0.4548179863
35	0.4532002561
36	0.4521000551
37	0.4506140107
38	0.4486869018
39	0.4470785163
40	0.4458273223
41	0.4438897958
42	0.4418894181
43	0.4402720875
44	0.439338989
45	0.4382524454
46	0.4373790604
47	0.4356567491
48	0.4345499833
49	0.4328867057
50	0.4314085743
51	0.430048859
52	0.4284588964
53	0.4272947872
54	0.4256643332
55	0.4244861
56	0.4226721368
57	0.4217680695
58	0.4207378605
59	0.4195630643
60	0.4184972897
61	0.4174502608
62	0.4165285356
63	0.4152381599
64	0.414489235
65	0.4131470683
66	0.4120585962
67	0.4102401265
68	0.4092812754
69	0.4077790087
70	0.4070028613
71	0.4061716478
72	0.4052988915
73	0.403446983
74	0.402614797
75	0.4016661995
76	0.4002646798
77	0.398681464
78	0.3973224419
79	0.3961317933
80	0.3949493826
81	0.3940831742
82	0.3935301482
83	0.3925998689
84	0.3916954765
85	0.390908233
86	0.3901317305
87	0.3886488926
88	0.3878542824
89	0.3871120527
90	0.3860677485
91	0.3853069151
92	0.3842339946
93	0.3829802086
94	0.3819497251
95	0.3812916189
96	0.3803922985
97	0.3796070393
98	0.3791701862
99	0.3778369365
100	0.3773621627
101	0.3761929938
102	0.3747859477
103	0.3742013992
104	0.3727953612
105	0.3717838566
106	0.3713132777
107	0.3708999094
