iter	Passed	Remaining
0	113	283201
1	223	278990
2	292	243773
3	358	223514
4	429	214134
5	504	209508
6	596	212559
7	672	209497
8	756	209351
9	837	208658
10	919	208003
11	962	199650
12	1009	193123
13	1050	186457
14	1096	181575
15	1134	176142
16	1175	171708
17	1214	167513
18	1273	166260
19	1311	162666
20	1355	159998
21	1399	157634
22	1441	155199
23	1481	152866
24	1517	150190
25	1554	147889
26	1597	146362
27	1671	147591
28	1742	148500
29	1813	149333
30	1870	149004
31	1933	149094
32	2009	150236
33	2083	151148
34	2170	152873
35	2256	154428
36	2339	155733
37	2412	156281
38	2490	157138
39	2575	158397
40	2658	159419
41	2737	160188
42	2818	161034
43	2897	161741
44	2979	162531
45	3057	163115
46	3139	163833
47	3212	164103
48	3294	164789
49	3360	164668
50	3414	163959
51	3474	163573
52	3549	163880
53	3627	164309
54	3703	164640
55	3779	164931
56	3850	165037
57	3929	165465
58	3998	165433
59	4073	165644
60	4150	165964
61	4231	166389
62	4314	166899
63	4408	167787
64	4493	168345
65	4564	168324
66	4651	168905
67	4723	168934
68	4800	169142
69	4882	169491
70	4954	169493
71	5022	169369
72	5107	169791
73	5191	170207
74	5273	170516
75	5357	170888
76	5461	171869
77	5526	171605
78	5565	170545
79	5605	169581
80	5646	168614
81	5684	167617
82	5725	166743
83	5763	165780
84	5805	164934
85	5843	164013
86	5884	163213
87	5923	162345
88	5963	161538
89	6003	160756
90	6045	160051
91	6085	159269
92	6126	158570
93	6167	157856
94	6217	157412
95	6258	156723
96	6295	155959
97	6335	155288
98	6379	154721
99	6419	154059
100	6462	153502
101	6517	153224
102	6558	152635
103	6598	152020
104	6639	151447
105	6681	150911
106	6721	150322
107	6760	149723
